"Participation_score","Senior_status"
8,"not a Senior"
4,"Senior"
6,"not a Senior"
8,"Senior"
6,"not a Senior"
6,"Senior"
5,"not a Senior"
8,"not a Senior"
7,"not a Senior"
6,"not a Senior"
8,"Senior"
8,"not a Senior"
8,"not a Senior"
6,"Senior"
5,"not a Senior"
8,"Senior"
8,"not a Senior"
7,"Senior"
8,"not a Senior"
8,"not a Senior"
8,"Senior"
7,"Senior"
6,"not a Senior"
7,"Senior"
8,"not a Senior"
8,"Senior"
6,"Senior"
7,"not a Senior"
7,"Senior"
8,"not a Senior"
8,"Senior"
8,"not a Senior"
5,"not a Senior"
8,"Senior"
8,"not a Senior"
8,"not a Senior"
6,"not a Senior"
7,"not a Senior"
5,"not a Senior"
7,"not a Senior"
7,"not a Senior"
5,"not a Senior"
6,"not a Senior"
5,"not a Senior"
7,"not a Senior"
6,"not a Senior"
6,"not a Senior"
6,"Senior"
8,"Senior"
7,"not a Senior"
7,"not a Senior"
6,"not a Senior"
5,"not a Senior"
8,"Senior"
7,"Senior"
4,"Senior"
7,"not a Senior"
6,"not a Senior"
8,"not a Senior"
6,"not a Senior"
7,"not a Senior"
5,"not a Senior"
7,"not a Senior"
4,"not a Senior"
7,"not a Senior"
6,"not a Senior"
6,"not a Senior"
5,"not a Senior"
7,"not a Senior"
7,"not a Senior"
5,"not a Senior"
6,"Senior"
6,"Senior"
4,"not a Senior"
7,"not a Senior"
8,"not a Senior"
8,"not a Senior"
6,"not a Senior"
7,"not a Senior"
6,"not a Senior"
5,"not a Senior"
7,"not a Senior"
8,"Senior"
6,"Senior"
6,"not a Senior"
7,"Senior"
6,"not a Senior"
8,"not a Senior"
6,"not a Senior"
6,"not a Senior"
8,"not a Senior"
5,"not a Senior"
5,"not a Senior"
6,"not a Senior"
8,"Senior"
7,"Senior"
7,"Senior"
7,"not a Senior"
8,"Senior"
5,"not a Senior"
5,"not a Senior"
6,"not a Senior"
8,"Senior"
8,"not a Senior"
4,"not a Senior"
5,"Senior"
8,"not a Senior"
7,"not a Senior"
7,"Senior"
6,"not a Senior"
7,"not a Senior"
7,"Senior"
5,"not a Senior"
6,"not a Senior"
7,"Senior"
4,"not a Senior"
6,"not a Senior"
8,"Senior"
5,"not a Senior"
7,"not a Senior"
5,"not a Senior"
6,"not a Senior"
6,"Senior"
6,"Senior"
7,"Senior"
5,"not a Senior"
4,"Senior"
5,"not a Senior"
6,"not a Senior"
4,"not a Senior"
6,"not a Senior"
7,"not a Senior"
6,"not a Senior"
8,"not a Senior"
6,"not a Senior"
6,"Senior"
7,"not a Senior"
5,"not a Senior"
7,"not a Senior"
7,"not a Senior"
6,"Senior"
6,"Senior"
7,"not a Senior"
6,"not a Senior"
5,"Senior"
4,"not a Senior"
6,"Senior"
5,"not a Senior"
7,"not a Senior"
5,"not a Senior"
6,"not a Senior"
6,"Senior"
5,"not a Senior"
7,"Senior"
