"Pay","Seniority","Round","Age","Layoff_status"
"H",1.5,6,25,"Retained"
"H",12.4,6,38,"Retained"
"H",25.5,6,56,"Retained"
"H",24.3,6,48,"Retained"
"H",16.3,1,53,"Laidoff"
"H",30.8,1,55,"Laidoff"
"H",27.9,1,59,"Laidoff"
"H",1.2,1,22,"Laidoff"
"H",13.8,2,55,"Laidoff"
"H",39.1,2,64,"Laidoff"
"H",17.2,2,55,"Laidoff"
"H",28.8,3,55,"Laidoff"
"H",14.2,4,33,"Laidoff"
"H",13.7,4,35,"Laidoff"
"S",24.3,6,61,"Retained"
"S",2.7,6,29,"Retained"
"S",23.3,6,48,"Retained"
"S",16.6,6,54,"Retained"
"S",12.9,6,55,"Retained"
"S",23.8,6,60,"Retained"
"S",4.5,6,31,"Retained"
"S",5.8,6,34,"Retained"
"S",27.2,6,59,"Retained"
"S",0.8,6,32,"Retained"
"S",7.2,6,53,"Retained"
"S",16.2,6,47,"Retained"
"S",19.8,6,48,"Retained"
"S",17.3,6,42,"Retained"
"S",26.8,6,48,"Retained"
"S",9.4,6,57,"Retained"
"S",18.6,6,37,"Retained"
"S",26.8,6,54,"Retained"
"S",36.8,1,69,"Laidoff"
"S",3.1,1,53,"Laidoff"
"S",5.3,1,30,"Laidoff"
"S",5.8,1,52,"Laidoff"
"S",37.4,1,63,"Laidoff"
"S",47.2,1,64,"Laidoff"
"S",31.3,1,66,"Laidoff"
"S",38.2,2,61,"Laidoff"
"S",1.7,2,31,"Laidoff"
"S",4.8,2,42,"Laidoff"
"S",22.1,2,56,"Laidoff"
"S",23.2,2,54,"Laidoff"
"S",35.3,2,56,"Laidoff"
"S",29,3,50,"Laidoff"
"S",5.2,3,32,"Laidoff"
"S",36,4,59,"Laidoff"
"S",28.8,4,49,"Laidoff"
"S",1.7,5,23,"Laidoff"
